title,ingredients,steps,cuisine,rating
Sugar Glazed Rice! .,"turmeric, carrot, pepper, chicken, garlic! .",Heat oil -> Chop ingredients -> Mix ingredients! .,ITALIAN! .,4.0
Golden Chicken! .,"chili, vanilla, basil! .",Serve hot -> Chop ingredients -> Garnish with herbs -> Let it simmer -> Boil water! .,INDIAN! .,1.0
Sweet & Spicy Carrot! .,"chicken, milk, pasta! .",Let it simmer -> Serve hot -> Bake at 350°F! .,AMERICAN! .,5.0
Herbal Lemon Rice! .,"vanilla, tomato, olive oil! .",Add seasoning -> Garnish with herbs -> Bake at 350°F -> Heat oil -> Boil water! .,CHINESE! .,2.0
Sugar Glazed Rice! .,"cumin, sugar, lemon! .",Boil water -> Heat oil -> Garnish with herbs -> Bake at 350°F -> Serve hot! .,INDIAN! .,5.0
Golden Chicken! .,"salt, turmeric, milk, vanilla! .",Let it simmer -> Boil water -> Chop ingredients -> Heat oil -> Garnish with herbs! .,ITALIAN! .,4.0
Spaghetti Delight! .,"spinach, pepper, turmeric! .",Mix ingredients -> Serve hot -> Chop ingredients! .,INDIAN! .,3.0
Sweet & Spicy Carrot! .,"cheese, salt, basil, chili, onion, lemon! .",Bake at 350°F -> Garnish with herbs -> Chop ingredients -> Heat oil! .,FRENCH! .,3.0
Herbal Lemon Rice! .,"butter, pasta, rice, flour, basil, beef! .",Serve hot -> Chop ingredients -> Bake at 350°F -> Mix ingredients -> Let it simmer! .,INDIAN! .,2.0
Sugar Glazed Rice! .,"butter, egg, garlic, chili, tomato! .",Add seasoning -> Serve hot -> Bake at 350°F -> Mix ingredients! .,MEXICAN! .,2.0
Golden Chicken! .,"beef, cumin, egg! .",Mix ingredients -> Chop ingredients -> Heat oil -> Bake at 350°F -> Let it simmer! .,FRENCH! .,2.0
Spaghetti Delight! .,"basil, turmeric, rice, chili, tomato, pepper! .",Bake at 350°F -> Chop ingredients -> Serve hot -> Boil water! .,INDIAN! .,5.0
Sweet & Spicy Carrot! .,"spinach, vanilla, salt, olive oil, garlic! .",Mix ingredients -> Boil water -> Serve hot! .,THAI! .,3.0
Herbal Lemon Rice! .,"basil, tomato, sugar, cheese! .",Heat oil -> Serve hot -> Boil water -> Garnish with herbs! .,THAI! .,2.0
Sugar Glazed Rice! .,"chili, pasta, potato, olive oil! .",Bake at 350°F -> Add seasoning -> Heat oil -> Chop ingredients! .,ITALIAN! .,3.0
Golden Chicken! .,"spinach, chicken, basil, vanilla, butter! .",Garnish with herbs -> Chop ingredients -> Heat oil -> Serve hot -> Mix ingredients! .,ITALIAN! .,4.0
Spaghetti Delight! .,"olive oil, sugar, chili, milk, egg! .",Serve hot -> Mix ingredients -> Garnish with herbs! .,AMERICAN! .,4.0
Sweet & Spicy Carrot! .,"butter, onion, pasta! .",Mix ingredients -> Boil water -> Heat oil -> Serve hot! .,AMERICAN! .,1.0
Herbal Lemon Rice! .,"spinach, turmeric, sugar! .",Chop ingredients -> Serve hot -> Bake at 350°F -> Boil water! .,THAI! .,2.0
Sugar Glazed Rice! .,"butter, turmeric, onion, carrot! .",Add seasoning -> Garnish with herbs -> Heat oil -> Bake at 350°F! .,FRENCH! .,2.0
Golden Chicken! .,"basil, spinach, cumin, rice! .",Serve hot -> Bake at 350°F -> Heat oil -> Boil water -> Garnish with herbs! .,ITALIAN! .,5.0
Spaghetti Delight! .,"basil, sugar, carrot, flour! .",Bake at 350°F -> Heat oil -> Boil water -> Let it simmer -> Mix ingredients! .,CHINESE! .,4.0
Sweet & Spicy Carrot! .,"milk, cheese, butter, potato! .",Serve hot -> Let it simmer -> Garnish with herbs -> Heat oil -> Chop ingredients! .,ITALIAN! .,2.0
Herbal Lemon Rice! .,"spinach, egg, milk, cheese, turmeric, basil! .",Garnish with herbs -> Bake at 350°F -> Add seasoning -> Heat oil -> Mix ingredients! .,AMERICAN! .,1.0
Sugar Glazed Rice! .,"egg, chili, vanilla! .",Serve hot -> Add seasoning -> Bake at 350°F -> Let it simmer! .,AMERICAN! .,1.0
Golden Chicken! .,"milk, carrot, beef, chili, flour, lemon! .",Serve hot -> Chop ingredients -> Add seasoning! .,CHINESE! .,1.0
Sweet & Spicy Carrot! .,"spinach, onion, flour, carrot, basil! .",Serve hot -> Boil water -> Mix ingredients -> Heat oil! .,THAI! .,5.0
Herbal Lemon Rice! .,"chicken, cheese, turmeric! .",Mix ingredients -> Garnish with herbs -> Add seasoning -> Let it simmer! .,CHINESE! .,1.0
Sugar Glazed Rice! .,"cumin, pepper, pasta, salt, beef! .",Garnish with herbs -> Serve hot -> Heat oil! .,ITALIAN! .,2.0
Golden Chicken! .,"lemon, cumin, pasta! .",Serve hot -> Chop ingredients -> Mix ingredients -> Let it simmer! .,AMERICAN! .,1.0
Spaghetti Delight! .,"garlic, carrot, flour, olive oil, butter! .",Chop ingredients -> Let it simmer -> Bake at 350°F! .,INDIAN! .,1.0
Sweet & Spicy Carrot! .,"onion, cheese, lemon, chicken! .",Let it simmer -> Bake at 350°F -> Boil water! .,FRENCH! .,3.0
Herbal Lemon Rice! .,"tomato, potato, pepper, vanilla, rice! .",Boil water -> Garnish with herbs -> Let it simmer! .,AMERICAN! .,4.0
Sugar Glazed Rice! .,"sugar, tomato, carrot, basil! .",Serve hot -> Bake at 350°F -> Mix ingredients -> Chop ingredients! .,CHINESE! .,2.0
Golden Chicken! .,"salt, onion, flour, olive oil, potato! .",Let it simmer -> Bake at 350°F -> Boil water! .,INDIAN! .,2.0
Spaghetti Delight! .,"sugar, vanilla, flour, cheese, milk, spinach! .",Bake at 350°F -> Let it simmer -> Add seasoning -> Garnish with herbs! .,ITALIAN! .,3.0
Herbal Lemon Rice! .,"butter, rice, garlic, milk, tomato! .",Let it simmer -> Heat oil -> Serve hot! .,INDIAN! .,3.0
Sugar Glazed Rice! .,"egg, olive oil, pasta, salt, basil! .",Chop ingredients -> Serve hot -> Let it simmer -> Bake at 350°F! .,AMERICAN! .,4.0
Spaghetti Delight! .,"olive oil, egg, pasta! .",Heat oil -> Garnish with herbs -> Boil water -> Add seasoning -> Chop ingredients! .,CHINESE! .,5.0
Sweet & Spicy Carrot! .,"sugar, butter, vanilla, cumin, milk! .",Serve hot -> Heat oil -> Bake at 350°F -> Add seasoning! .,CHINESE! .,1.0
Herbal Lemon Rice! .,"cumin, sugar, basil, garlic, onion, spinach! .",Let it simmer -> Boil water -> Mix ingredients -> Chop ingredients! .,CHINESE! .,4.0
Sugar Glazed Rice! .,"milk, carrot, turmeric, salt, rice! .",Chop ingredients -> Boil water -> Bake at 350°F! .,INDIAN! .,5.0
Golden Chicken! .,"rice, vanilla, beef, egg! .",Mix ingredients -> Let it simmer -> Boil water! .,AMERICAN! .,5.0
Spaghetti Delight! .,"basil, olive oil, turmeric, egg! .",Garnish with herbs -> Let it simmer -> Chop ingredients! .,INDIAN! .,4.0
Sweet & Spicy Carrot! .,"lemon, vanilla, spinach! .",Garnish with herbs -> Add seasoning -> Heat oil! .,THAI! .,2.0
Herbal Lemon Rice! .,"milk, butter, beef, garlic, lemon, chili! .",Heat oil -> Add seasoning -> Bake at 350°F -> Mix ingredients! .,MEXICAN! .,4.0
Sugar Glazed Rice! .,"flour, olive oil, basil, tomato, pepper, onion! .",Add seasoning -> Mix ingredients -> Bake at 350°F! .,CHINESE! .,4.0
Golden Chicken! .,"butter, cumin, potato, milk, pepper! .",Let it simmer -> Heat oil -> Garnish with herbs! .,AMERICAN! .,3.0
Spaghetti Delight! .,"cumin, sugar, cheese, butter! .",Heat oil -> Mix ingredients -> Garnish with herbs -> Chop ingredients! .,THAI! .,2.0
Sweet & Spicy Carrot! .,"pepper, spinach, rice, milk, carrot, onion! .",Add seasoning -> Serve hot -> Heat oil -> Mix ingredients -> Boil water! .,AMERICAN! .,3.0
Herbal Lemon Rice! .,"cheese, onion, garlic, chicken, potato, cumin! .",Boil water -> Heat oil -> Serve hot! .,FRENCH! .,1.0
Golden Chicken! .,"flour, chili, rice, carrot! .",Bake at 350°F -> Let it simmer -> Garnish with herbs! .,FRENCH! .,3.0
Spaghetti Delight! .,"basil, egg, beef! .",Heat oil -> Garnish with herbs -> Serve hot -> Chop ingredients -> Boil water! .,THAI! .,2.0
Herbal Lemon Rice! .,"onion, olive oil, garlic! .",Add seasoning -> Chop ingredients -> Serve hot! .,CHINESE! .,1.0
Sugar Glazed Rice! .,"egg, tomato, garlic! .",Mix ingredients -> Add seasoning -> Boil water -> Chop ingredients! .,INDIAN! .,4.0
Golden Chicken! .,"rice, potato, tomato! .",Garnish with herbs -> Chop ingredients -> Bake at 350°F -> Serve hot -> Mix ingredients! .,THAI! .,1.0
Spaghetti Delight! .,"spinach, rice, chicken! .",Bake at 350°F -> Add seasoning -> Let it simmer -> Serve hot -> Mix ingredients! .,AMERICAN! .,1.0
Sweet & Spicy Carrot! .,"cheese, tomato, garlic, cumin, olive oil, salt! .",Let it simmer -> Bake at 350°F -> Chop ingredients! .,INDIAN! .,1.0
Herbal Lemon Rice! .,"sugar, beef, milk! .",Garnish with herbs -> Chop ingredients -> Bake at 350°F -> Heat oil -> Serve hot! .,ITALIAN! .,1.0
Sugar Glazed Rice! .,"spinach, chicken, chili, butter, lemon! .",Garnish with herbs -> Heat oil -> Boil water -> Mix ingredients! .,ITALIAN! .,5.0
Golden Chicken! .,"beef, vanilla, cumin! .",Heat oil -> Add seasoning -> Mix ingredients -> Chop ingredients! .,AMERICAN! .,2.0
Spaghetti Delight! .,"rice, chili, garlic! .",Add seasoning -> Bake at 350°F -> Heat oil! .,CHINESE! .,1.0
Sweet & Spicy Carrot! .,"salt, tomato, vanilla, chicken, spinach, rice! .",Mix ingredients -> Serve hot -> Add seasoning -> Let it simmer -> Chop ingredients! .,FRENCH! .,5.0
Herbal Lemon Rice! .,"butter, onion, salt, milk, turmeric! .",Boil water -> Mix ingredients -> Heat oil -> Let it simmer -> Chop ingredients! .,ITALIAN! .,4.0
Sugar Glazed Rice! .,"spinach, carrot, butter, cumin, potato, beef! .",Let it simmer -> Bake at 350°F -> Boil water! .,AMERICAN! .,3.0
Golden Chicken! .,"butter, pepper, chicken, rice, spinach! .",Boil water -> Mix ingredients -> Let it simmer! .,AMERICAN! .,3.0
Spaghetti Delight! .,"milk, cheese, spinach! .",Boil water -> Bake at 350°F -> Let it simmer -> Heat oil -> Mix ingredients! .,ITALIAN! .,4.0
Sweet & Spicy Carrot! .,"chili, spinach, flour! .",Heat oil -> Mix ingredients -> Chop ingredients -> Garnish with herbs! .,THAI! .,4.0
Herbal Lemon Rice! .,"cumin, beef, rice! .",Mix ingredients -> Bake at 350°F -> Add seasoning! .,INDIAN! .,5.0
Sugar Glazed Rice! .,"flour, beef, butter, carrot! .",Heat oil -> Serve hot -> Bake at 350°F -> Add seasoning -> Let it simmer! .,THAI! .,2.0
Golden Chicken! .,"tomato, lemon, onion, potato! .",Bake at 350°F -> Boil water -> Garnish with herbs -> Let it simmer -> Add seasoning! .,FRENCH! .,2.0
Spaghetti Delight! .,"sugar, chicken, onion! .",Mix ingredients -> Add seasoning -> Let it simmer -> Serve hot -> Garnish with herbs! .,THAI! .,3.0
Sweet & Spicy Carrot! .,"carrot, chili, flour, vanilla, cumin! .",Heat oil -> Chop ingredients -> Bake at 350°F -> Garnish with herbs! .,CHINESE! .,4.0
Herbal Lemon Rice! .,"basil, vanilla, garlic, egg, butter, turmeric! .",Bake at 350°F -> Heat oil -> Boil water -> Let it simmer! .,AMERICAN! .,3.0
Sugar Glazed Rice! .,"flour, tomato, turmeric, egg, sugar! .",Chop ingredients -> Serve hot -> Let it simmer -> Bake at 350°F! .,INDIAN! .,1.0
Golden Chicken! .,"onion, tomato, spinach! .",Heat oil -> Boil water -> Mix ingredients -> Garnish with herbs -> Bake at 350°F! .,INDIAN! .,3.0
Spaghetti Delight! .,"flour, butter, vanilla! .",Heat oil -> Mix ingredients -> Add seasoning -> Garnish with herbs! .,AMERICAN! .,4.0
Sweet & Spicy Carrot! .,"salt, egg, rice, cheese! .",Let it simmer -> Add seasoning -> Boil water! .,FRENCH! .,5.0
Herbal Lemon Rice! .,"salt, cumin, lemon! .",Boil water -> Garnish with herbs -> Add seasoning -> Bake at 350°F! .,MEXICAN! .,3.0
Sugar Glazed Rice! .,"potato, rice, garlic, chicken, chili, sugar! .",Chop ingredients -> Boil water -> Heat oil! .,MEXICAN! .,1.0
Golden Chicken! .,"turmeric, flour, sugar, lemon! .",Mix ingredients -> Bake at 350°F -> Serve hot! .,INDIAN! .,3.0
Spaghetti Delight! .,"potato, chili, garlic! .",Add seasoning -> Heat oil -> Chop ingredients! .,AMERICAN! .,5.0
Sweet & Spicy Carrot! .,"sugar, cheese, potato! .",Let it simmer -> Serve hot -> Heat oil -> Chop ingredients! .,ITALIAN! .,1.0
Herbal Lemon Rice! .,"butter, milk, spinach, cheese! .",Garnish with herbs -> Chop ingredients -> Mix ingredients -> Let it simmer! .,AMERICAN! .,4.0
Sugar Glazed Rice! .,"olive oil, garlic, pepper! .",Bake at 350°F -> Mix ingredients -> Add seasoning -> Chop ingredients! .,FRENCH! .,1.0
Golden Chicken! .,"flour, vanilla, onion, egg, spinach, lemon! .",Garnish with herbs -> Serve hot -> Chop ingredients! .,THAI! .,1.0
Spaghetti Delight! .,"lemon, pasta, carrot, pepper! .",Let it simmer -> Chop ingredients -> Boil water -> Serve hot -> Add seasoning! .,MEXICAN! .,5.0
Sweet & Spicy Carrot! .,"cheese, milk, pepper! .",Boil water -> Garnish with herbs -> Bake at 350°F! .,CHINESE! .,5.0
Herbal Lemon Rice! .,"chili, rice, egg, garlic, basil! .",Garnish with herbs -> Chop ingredients -> Add seasoning! .,CHINESE! .,4.0
Sugar Glazed Rice! .,"vanilla, pepper, lemon, beef, chicken, olive oil! .",Serve hot -> Chop ingredients -> Mix ingredients! .,MEXICAN! .,4.0
Spaghetti Delight! .,"flour, butter, chili, tomato! .",Heat oil -> Let it simmer -> Boil water! .,INDIAN! .,3.0
Sweet & Spicy Carrot! .,"olive oil, sugar, beef! .",Boil water -> Let it simmer -> Bake at 350°F -> Heat oil! .,FRENCH! .,5.0
Herbal Lemon Rice! .,"cheese, milk, onion, chicken! .",Serve hot -> Add seasoning -> Garnish with herbs! .,THAI! .,2.0
Sugar Glazed Rice! .,"tomato, rice, lemon, olive oil, chili! .",Mix ingredients -> Let it simmer -> Garnish with herbs -> Heat oil -> Bake at 350°F! .,AMERICAN! .,2.0
Golden Chicken! .,"chicken, egg, basil, lemon! .",Let it simmer -> Add seasoning -> Boil water -> Mix ingredients! .,MEXICAN! .,2.0
Spaghetti Delight! .,"flour, butter, egg, chili, cumin, pepper! .",Boil water -> Serve hot -> Bake at 350°F -> Heat oil! .,THAI! .,2.0
Herbal Lemon Rice! .,"flour, sugar, basil, egg! .",Boil water -> Bake at 350°F -> Heat oil -> Add seasoning! .,MEXICAN! .,3.0
Sugar Glazed Rice! .,"flour, cheese, tomato, potato! .",Boil water -> Bake at 350°F -> Mix ingredients -> Heat oil! .,AMERICAN! .,3.0
Golden Chicken! .,"basil, cheese, garlic, turmeric! .",Let it simmer -> Chop ingredients -> Serve hot -> Garnish with herbs -> Add seasoning! .,FRENCH! .,3.0
Spaghetti Delight! .,"carrot, rice, vanilla, egg, butter, onion! .",Heat oil -> Garnish with herbs -> Add seasoning -> Chop ingredients! .,CHINESE! .,5.0
Sweet & Spicy Carrot! .,"milk, onion, pepper, cheese! .",Chop ingredients -> Heat oil -> Serve hot! .,INDIAN! .,3.0
Herbal Lemon Rice! .,"cumin, sugar, onion! .",Heat oil -> Garnish with herbs -> Serve hot -> Mix ingredients -> Add seasoning! .,ITALIAN! .,5.0
Sugar Glazed Rice! .,"chicken, flour, salt! .",Boil water -> Heat oil -> Serve hot -> Garnish with herbs -> Add seasoning! .,ITALIAN! .,3.0
Spaghetti Delight! .,"chicken, olive oil, onion, spinach, vanilla, lemon! .",Heat oil -> Add seasoning -> Bake at 350°F! .,ITALIAN! .,2.0
Sweet & Spicy Carrot! .,"butter, pasta, potato! .",Boil water -> Let it simmer -> Chop ingredients! .,CHINESE! .,3.0
Herbal Lemon Rice! .,"spinach, garlic, egg! .",Let it simmer -> Garnish with herbs -> Heat oil! .,CHINESE! .,1.0
Sugar Glazed Rice! .,"milk, lemon, turmeric, garlic, sugar! .",Chop ingredients -> Mix ingredients -> Add seasoning! .,ITALIAN! .,1.0
Golden Chicken! .,"chili, flour, lemon, onion! .",Bake at 350°F -> Garnish with herbs -> Chop ingredients! .,FRENCH! .,4.0
Spaghetti Delight! .,"basil, milk, cheese, potato! .",Bake at 350°F -> Boil water -> Mix ingredients -> Chop ingredients -> Serve hot! .,FRENCH! .,5.0
Sweet & Spicy Carrot! .,"spinach, salt, rice, chicken! .",Let it simmer -> Heat oil -> Boil water -> Serve hot -> Add seasoning! .,INDIAN! .,2.0
Herbal Lemon Rice! .,"salt, basil, pasta, tomato! .",Boil water -> Add seasoning -> Bake at 350°F! .,AMERICAN! .,5.0
Sugar Glazed Rice! .,"cumin, lemon, potato! .",Serve hot -> Add seasoning -> Boil water! .,FRENCH! .,3.0
Spaghetti Delight! .,"olive oil, cumin, potato! .",Let it simmer -> Bake at 350°F -> Heat oil! .,AMERICAN! .,1.0
Sweet & Spicy Carrot! .,"pasta, spinach, rice, chili! .",Serve hot -> Mix ingredients -> Let it simmer -> Heat oil! .,CHINESE! .,4.0
Herbal Lemon Rice! .,"butter, egg, onion, beef, chili! .",Heat oil -> Garnish with herbs -> Serve hot -> Bake at 350°F -> Chop ingredients! .,FRENCH! .,1.0
Sugar Glazed Rice! .,"rice, pepper, cumin, cheese! .",Let it simmer -> Garnish with herbs -> Heat oil -> Serve hot -> Chop ingredients! .,ITALIAN! .,4.0
Golden Chicken! .,"rice, lemon, salt! .",Garnish with herbs -> Add seasoning -> Heat oil -> Boil water -> Serve hot! .,AMERICAN! .,4.0
Spaghetti Delight! .,"pasta, egg, butter, rice! .",Mix ingredients -> Add seasoning -> Serve hot -> Bake at 350°F! .,FRENCH! .,4.0
Sweet & Spicy Carrot! .,"vanilla, salt, cheese, potato! .",Add seasoning -> Chop ingredients -> Garnish with herbs -> Bake at 350°F -> Serve hot! .,THAI! .,4.0
Herbal Lemon Rice! .,"basil, salt, pasta, turmeric! .",Let it simmer -> Bake at 350°F -> Chop ingredients! .,AMERICAN! .,5.0
Sugar Glazed Rice! .,"vanilla, beef, salt, butter, turmeric, sugar! .",Mix ingredients -> Serve hot -> Chop ingredients -> Add seasoning! .,AMERICAN! .,4.0
Golden Chicken! .,"turmeric, olive oil, lemon, chicken, onion, basil! .",Garnish with herbs -> Serve hot -> Boil water -> Add seasoning -> Bake at 350°F! .,CHINESE! .,1.0
Spaghetti Delight! .,"sugar, basil, carrot, rice, egg, butter! .",Boil water -> Add seasoning -> Serve hot! .,INDIAN! .,2.0
Sweet & Spicy Carrot! .,"onion, cumin, pasta, chicken! .",Boil water -> Add seasoning -> Garnish with herbs! .,MEXICAN! .,4.0
Herbal Lemon Rice! .,"egg, turmeric, flour! .",Serve hot -> Heat oil -> Add seasoning -> Chop ingredients! .,CHINESE! .,4.0
Sugar Glazed Rice! .,"chili, basil, cumin, cheese, chicken! .",Boil water -> Serve hot -> Let it simmer! .,AMERICAN! .,4.0
Golden Chicken! .,"butter, lemon, basil! .",Garnish with herbs -> Mix ingredients -> Add seasoning! .,FRENCH! .,3.0
Spaghetti Delight! .,"tomato, olive oil, lemon, chili! .",Bake at 350°F -> Heat oil -> Boil water -> Let it simmer -> Add seasoning! .,AMERICAN! .,4.0
Sweet & Spicy Carrot! .,"cheese, lemon, sugar! .",Boil water -> Chop ingredients -> Heat oil! .,AMERICAN! .,5.0
Herbal Lemon Rice! .,"carrot, cumin, basil, flour, butter, onion! .",Let it simmer -> Serve hot -> Garnish with herbs -> Bake at 350°F -> Mix ingredients! .,INDIAN! .,5.0
Sugar Glazed Rice! .,"flour, butter, cheese, chicken, carrot! .",Garnish with herbs -> Heat oil -> Chop ingredients -> Mix ingredients! .,ITALIAN! .,4.0
Golden Chicken! .,"olive oil, rice, lemon, milk, pasta, tomato! .",Garnish with herbs -> Mix ingredients -> Add seasoning! .,CHINESE! .,1.0
Spaghetti Delight! .,"flour, cumin, vanilla! .",Bake at 350°F -> Heat oil -> Mix ingredients -> Boil water! .,FRENCH! .,3.0
Sweet & Spicy Carrot! .,"basil, cheese, beef! .",Heat oil -> Chop ingredients -> Add seasoning! .,AMERICAN! .,4.0
Herbal Lemon Rice! .,"milk, spinach, egg! .",Bake at 350°F -> Garnish with herbs -> Let it simmer -> Add seasoning! .,MEXICAN! .,3.0
Sugar Glazed Rice! .,"rice, chili, cumin, turmeric! .",Let it simmer -> Add seasoning -> Bake at 350°F! .,ITALIAN! .,1.0
Golden Chicken! .,"beef, flour, olive oil, garlic, egg, rice! .",Chop ingredients -> Boil water -> Bake at 350°F! .,MEXICAN! .,1.0
Spaghetti Delight! .,"lemon, chili, salt, carrot, chicken! .",Heat oil -> Serve hot -> Garnish with herbs! .,ITALIAN! .,2.0
Sweet & Spicy Carrot! .,"onion, pepper, rice, olive oil! .",Add seasoning -> Chop ingredients -> Serve hot -> Let it simmer -> Heat oil! .,CHINESE! .,5.0
Herbal Lemon Rice! .,"cumin, pepper, tomato, pasta! .",Heat oil -> Serve hot -> Add seasoning -> Mix ingredients! .,FRENCH! .,2.0
Golden Chicken! .,"turmeric, lemon, chicken, vanilla, beef! .",Mix ingredients -> Add seasoning -> Bake at 350°F -> Boil water! .,AMERICAN! .,2.0
Spaghetti Delight! .,"garlic, sugar, butter, chicken! .",Mix ingredients -> Heat oil -> Garnish with herbs -> Let it simmer! .,INDIAN! .,5.0
Sweet & Spicy Carrot! .,"cumin, turmeric, chicken, cheese, onion, lemon! .",Chop ingredients -> Add seasoning -> Bake at 350°F -> Let it simmer -> Serve hot! .,THAI! .,2.0
Herbal Lemon Rice! .,"beef, butter, egg, chili, tomato, onion! .",Add seasoning -> Boil water -> Serve hot! .,INDIAN! .,2.0
Sugar Glazed Rice! .,"chicken, carrot, butter, cheese, chili! .",Let it simmer -> Heat oil -> Add seasoning -> Boil water! .,ITALIAN! .,1.0
Golden Chicken! .,"milk, butter, potato, lemon, garlic, spinach! .",Boil water -> Serve hot -> Bake at 350°F -> Let it simmer -> Mix ingredients! .,CHINESE! .,2.0
Spaghetti Delight! .,"pasta, spinach, sugar, garlic, turmeric! .",Serve hot -> Bake at 350°F -> Mix ingredients -> Add seasoning -> Chop ingredients! .,ITALIAN! .,4.0
Sweet & Spicy Carrot! .,"pepper, beef, butter, garlic, chicken! .",Add seasoning -> Let it simmer -> Mix ingredients -> Heat oil! .,CHINESE! .,2.0
Herbal Lemon Rice! .,"lemon, vanilla, turmeric, butter, tomato! .",Let it simmer -> Garnish with herbs -> Mix ingredients -> Serve hot! .,ITALIAN! .,5.0
Sugar Glazed Rice! .,"rice, pasta, pepper, cheese, spinach! .",Heat oil -> Bake at 350°F -> Boil water -> Serve hot! .,INDIAN! .,3.0
